level,trim_-6.0,trim_-5.5,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
115,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
116,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
117,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
118,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
119,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
120,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
121,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
122,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
123,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
124,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
125,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
126,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
127,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
128,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
129,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
130,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
131,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
132,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
133,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
134,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
135,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
136,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
137,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
138,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
139,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
140,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
141,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
142,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
143,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
144,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
145,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
146,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
147,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
148,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
149,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
150,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
151,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
152,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
153,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
154,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
155,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
156,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
157,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
158,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
159,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
160,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
161,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
