level,trim_-5.0,trim_-4.0,trim_-3.0,trim_-2.0,trim_-1.0,trim_0.0,trim_1.0,trim_2.0
337,385.5,388.3,391.2,394.2,397.3,400.4,403.5,406.8
338,387.3,390.1,393,396,399.1,402.2,405.3,408.6
339,389.1,391.9,394.8,397.8,400.9,404,407.1,410.4
340,390.9,393.7,396.6,399.6,402.7,405.8,409,412.2
341,392.6,395.5,398.4,401.4,404.5,407.6,410.8,414
342,394.4,397.3,400.2,403.2,406.3,409.4,412.6,415.8
343,396.2,399.1,402,405,408.1,411.2,414.4,417.7
344,398,400.9,403.8,406.8,409.9,413,416.2,419.5
345,399.8,402.7,405.6,408.6,411.7,414.8,418,421.3
346,401.6,404.5,407.4,410.4,413.5,416.7,419.9,423.1
347,403.4,406.3,409.2,412.3,415.3,418.5,421.7,425
348,405.2,408.1,411.1,414.1,417.2,420.3,423.5,426.8
349,407,409.9,412.9,415.9,419,422.1,425.3,428.6
350,408.9,411.7,414.7,417.7,420.8,424,427.2,430.5
351,410.7,413.6,416.5,419.5,422.6,425.8,429,432.3
352,412.5,415.4,418.3,421.4,424.5,427.6,430.8,434.1
353,414.3,417.2,420.2,423.2,426.3,429.4,432.7,436
354,416.1,419,422,425,428.1,431.3,434.5,437.8
355,417.9,420.8,423.8,426.8,429.9,433.1,436.4,439.7
356,419.8,422.7,425.6,428.7,431.8,435,438.2,441.5
357,421.6,424.5,427.5,430.5,433.6,436.8,440,443.4
358,423.4,426.3,429.3,432.4,435.5,438.6,441.9,445.2
359,425.2,428.2,431.1,434.2,437.3,440.5,443.7,447.1
360,427.1,430,433,436,439.1,442.3,445.6,448.9
361,428.9,431.8,434.8,437.9,441,444.2,447.4,450.8
362,430.7,433.7,436.7,439.7,442.8,446,449.3,452.6
363,432.6,435.5,438.5,441.6,444.7,447.9,451.2,454.5
364,434.4,437.3,440.3,443.4,446.5,449.7,453,456.3
365,436.2,439.2,442.2,445.3,448.4,451.6,454.9,458.2
366,438.1,441,444,447.1,450.3,453.5,456.7,460.1
367,439.9,442.9,445.9,449,452.1,455.3,458.6,461.9
368,441.8,444.7,447.7,450.8,454,457.2,460.5,463.8
369,443.6,446.6,449.6,452.7,455.8,459,462.3,465.7
370,445.5,448.4,451.4,454.5,457.7,460.9,464.2,467.5
371,447.3,450.3,453.3,456.4,459.6,462.8,466.1,469.4
372,449.2,452.1,455.2,458.3,461.4,464.7,467.9,471.3
373,451,454,457,460.1,463.3,466.5,469.8,473.2
374,452.9,455.9,458.9,462,465.2,468.4,471.7,475.1
375,454.7,457.7,460.8,463.9,467,470.3,473.6,476.9
376,456.6,459.6,462.6,465.7,468.9,472.1,475.5,478.8
377,458.5,461.4,464.5,467.6,470.8,474,477.3,480.7
378,460.3,463.3,466.4,469.5,472.7,475.9,479.2,482.6
379,462.2,465.2,468.2,471.4,474.5,477.8,481.1,484.5
380,464.1,467,470.1,473.2,476.4,479.7,483,486.4
381,465.9,468.9,472,475.1,478.3,481.6,484.9,488.3
382,467.8,470.8,473.9,477,480.2,483.4,486.8,490.1
383,469.7,472.7,475.7,478.9,482.1,485.3,488.7,492
384,471.5,474.5,477.6,480.8,484,487.2,490.5,493.9
385,473.4,476.4,479.5,482.6,485.8,489.1,492.4,495.8
386,475.3,478.3,481.4,484.5,487.7,491,494.3,497.7
387,477.2,480.2,483.3,486.4,489.6,492.9,496.2,499.6
388,479,482.1,485.2,488.3,491.5,494.8,498.1,501.5
389,480.9,484,487,490.2,493.4,496.7,500,503.4
390,482.8,485.8,488.9,492.1,495.3,498.6,501.9,505.3
391,484.7,487.7,490.8,494,497.2,500.5,503.8,507.2
392,486.6,489.6,492.7,495.9,499.1,502.4,505.7,509.2
393,488.5,491.5,494.6,497.8,501,504.3,507.7,511.1
394,490.4,493.4,496.5,499.7,502.9,506.2,509.6,513
395,492.3,495.3,498.4,501.6,504.8,508.1,511.5,514.9
396,494.1,497.2,500.3,503.5,506.7,510,513.4,516.8
397,496,499.1,502.2,505.4,508.6,511.9,515.3,518.7
398,497.9,501,504.1,507.3,510.5,513.8,517.2,520.6
399,499.8,502.9,506,509.2,512.4,515.8,519.1,522.6
400,501.7,504.8,507.9,511.1,514.4,517.7,521,524.5
401,503.6,506.7,509.8,513,516.3,519.6,523,526.4
402,505.5,508.6,511.7,514.9,518.2,521.5,524.9,528.3
403,507.4,510.5,513.6,516.8,520.1,523.4,526.8,530.2
404,509.3,512.4,515.6,518.8,522,525.3,528.7,532.2
405,511.3,514.3,517.5,520.7,523.9,527.3,530.7,534.1
406,513.2,516.2,519.4,522.6,525.9,529.2,532.6,536
407,515.1,518.2,521.3,524.5,527.8,531.1,534.5,538
408,517,520.1,523.2,526.4,529.7,533,536.4,539.9
409,518.9,522,525.1,528.4,531.6,535,538.4,541.8
410,520.8,523.9,527.1,530.3,533.6,536.9,540.3,543.7
411,522.7,525.8,529,532.2,535.5,538.8,542.2,545.7
412,524.6,527.7,530.9,534.1,537.4,540.8,544.2,547.6
413,526.6,529.7,532.8,536.1,539.3,542.7,546.1,549.5
414,528.5,531.6,534.8,538,541.3,544.6,548,551.5
415,530.4,533.5,536.7,539.9,543.2,546.6,550,553.4
416,532.3,535.4,538.6,541.8,545.1,548.5,551.9,555.4
417,534.3,537.4,540.5,543.8,547.1,550.4,553.8,557.3
418,536.2,539.3,542.5,545.7,549,552.4,555.8,559.3
419,538.1,541.2,544.4,547.6,550.9,554.3,557.7,561.2
420,540,543.2,546.3,549.6,552.9,556.2,559.7,563.1
421,542,545.1,548.3,551.5,554.8,558.2,561.6,565.1
422,543.9,547,550.2,553.5,556.8,560.1,563.6,567
423,545.8,549,552.2,555.4,558.7,562.1,565.5,569
424,547.8,550.9,554.1,557.3,560.7,564,567.5,570.9
425,549.7,552.8,556,559.3,562.6,566,569.4,572.9
