level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
2239,-177.39,-160.912,-143.956,-126.956,-109.478,-91.478,-73.478,-55.478,-37.0,-19.0,0.0,19.0,38.0,57.0,76.522
2240,-177.4,-160.92,-143.96,-126.96,-109.48,-91.48,-73.48,-55.48,-37.0,-19.0,0.0,19.0,38.0,57.0,76.52
2241,-177.41,-160.928,-143.964,-126.964,-109.482,-91.482,-73.482,-55.482,-37.0,-19.0,0.0,19.0,38.0,57.0,76.518
2242,-177.42,-160.936,-143.968,-126.968,-109.484,-91.484,-73.484,-55.484,-37.0,-19.0,0.0,19.0,38.0,57.0,76.516
2243,-177.43,-160.944,-143.972,-126.972,-109.486,-91.486,-73.486,-55.486,-37.0,-19.0,0.0,19.0,38.0,57.0,76.514
2244,-177.44,-160.952,-143.976,-126.976,-109.488,-91.488,-73.488,-55.488,-37.0,-19.0,0.0,19.0,38.0,57.0,76.512
2245,-177.45,-160.96,-143.98,-126.98,-109.49,-91.49,-73.49,-55.49,-37.0,-19.0,0.0,19.0,38.0,57.0,76.51
2246,-177.46,-160.968,-143.984,-126.984,-109.492,-91.492,-73.492,-55.492,-37.0,-19.0,0.0,19.0,38.0,57.0,76.508
2247,-177.47,-160.976,-143.988,-126.988,-109.494,-91.494,-73.494,-55.494,-37.0,-19.0,0.0,19.0,38.0,57.0,76.506
2248,-177.48,-160.984,-143.992,-126.992,-109.496,-91.496,-73.496,-55.496,-37.0,-19.0,0.0,19.0,38.0,57.0,76.504
2249,-177.49,-160.992,-143.996,-126.996,-109.498,-91.498,-73.498,-55.498,-37.0,-19.0,0.0,19.0,38.0,57.0,76.502
2250,-177.5,-161.0,-144.0,-127.0,-109.5,-91.5,-73.5,-55.5,-37.0,-19.0,0.0,19.0,38.0,57.0,76.5
2251,-177.51,-161.008,-144.004,-127.004,-109.502,-91.502,-73.502,-55.502,-37.0,-19.0,0.0,19.0,38.0,57.0,76.498
2252,-177.52,-161.016,-144.008,-127.008,-109.504,-91.504,-73.504,-55.504,-37.0,-19.0,0.0,19.0,38.0,57.0,76.496
2253,-177.53,-161.024,-144.012,-127.012,-109.506,-91.506,-73.506,-55.506,-37.0,-19.0,0.0,19.0,38.0,57.0,76.494
2254,-177.54,-161.032,-144.016,-127.016,-109.508,-91.508,-73.508,-55.508,-37.0,-19.0,0.0,19.0,38.0,57.0,76.492
2255,-177.55,-161.04,-144.02,-127.02,-109.51,-91.51,-73.51,-55.51,-37.0,-19.0,0.0,19.0,38.0,57.0,76.49
2256,-177.56,-161.048,-144.024,-127.024,-109.512,-91.512,-73.512,-55.512,-37.0,-19.0,0.0,19.0,38.0,57.0,76.488
2257,-177.57,-161.056,-144.028,-127.028,-109.514,-91.514,-73.514,-55.514,-37.0,-19.0,0.0,19.0,38.0,57.0,76.486
2258,-177.58,-161.064,-144.032,-127.032,-109.516,-91.516,-73.516,-55.516,-37.0,-19.0,0.0,19.0,38.0,57.0,76.484
2259,-177.59,-161.072,-144.036,-127.036,-109.518,-91.518,-73.518,-55.518,-37.0,-19.0,0.0,19.0,38.0,57.0,76.482
2260,-177.6,-161.08,-144.04,-127.04,-109.52,-91.52,-73.52,-55.52,-37.0,-19.0,0.0,19.0,38.0,57.0,76.48
2261,-177.61,-161.088,-144.044,-127.044,-109.522,-91.522,-73.522,-55.522,-37.0,-19.0,0.0,19.0,38.0,57.0,76.478
2262,-177.62,-161.096,-144.048,-127.048,-109.524,-91.524,-73.524,-55.524,-37.0,-19.0,0.0,19.0,38.0,57.0,76.476
2263,-177.63,-161.104,-144.052,-127.052,-109.526,-91.526,-73.526,-55.526,-37.0,-19.0,0.0,19.0,38.0,57.0,76.474
2264,-177.64,-161.112,-144.056,-127.056,-109.528,-91.528,-73.528,-55.528,-37.0,-19.0,0.0,19.0,38.0,57.0,76.472
2265,-177.65,-161.12,-144.06,-127.06,-109.53,-91.53,-73.53,-55.53,-37.0,-19.0,0.0,19.0,38.0,57.0,76.47
