level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
9200,-136.8,-122.8,-108.4,-94.4,-81.0,-67.0,-53.4,-40.0,-26.4,-13.0,0.0,13.0,26.0,39.0,51.6
9210,-136.84,-122.84,-108.42,-94.42,-81.0,-67.0,-53.42,-40.0,-26.42,-13.0,0.0,13.0,26.0,39.0,51.58
9220,-136.88,-122.88,-108.44,-94.44,-81.0,-67.0,-53.44,-40.0,-26.44,-13.0,0.0,13.0,26.0,39.0,51.56
9230,-136.92,-122.92,-108.46,-94.46,-81.0,-67.0,-53.46,-40.0,-26.46,-13.0,0.0,13.0,26.0,39.0,51.54
9240,-136.96,-122.96,-108.48,-94.48,-81.0,-67.0,-53.48,-40.0,-26.48,-13.0,0.0,13.0,26.0,39.0,51.52
9250,-137.0,-123.0,-108.5,-94.5,-81.0,-67.0,-53.5,-40.0,-26.5,-13.0,0.0,13.0,26.0,39.0,51.5
9260,-137.04,-123.04,-108.52,-94.52,-81.0,-67.0,-53.52,-40.0,-26.52,-13.0,0.0,13.0,26.0,39.0,51.48
9270,-137.08,-123.08,-108.54,-94.54,-81.0,-67.0,-53.54,-40.0,-26.54,-13.0,0.0,13.0,26.0,39.0,51.46
9280,-137.12,-123.12,-108.56,-94.56,-81.0,-67.0,-53.56,-40.0,-26.56,-13.0,0.0,13.0,26.0,39.0,51.44
9290,-137.16,-123.16,-108.58,-94.58,-81.0,-67.0,-53.58,-40.0,-26.58,-13.0,0.0,13.0,26.0,39.0,51.42
9300,-137.2,-123.2,-108.6,-94.6,-81.0,-67.0,-53.6,-40.0,-26.6,-13.0,0.0,13.0,26.0,39.0,51.4
9310,-137.24,-123.24,-108.62,-94.62,-81.0,-67.0,-53.62,-40.0,-26.62,-13.0,0.0,13.0,26.0,39.0,51.38
9320,-137.28,-123.28,-108.64,-94.64,-81.0,-67.0,-53.64,-40.0,-26.64,-13.0,0.0,13.0,26.0,39.0,51.36
9330,-137.32,-123.32,-108.66,-94.66,-81.0,-67.0,-53.66,-40.0,-26.66,-13.0,0.0,13.0,26.0,39.0,51.34
9340,-137.36,-123.36,-108.68,-94.68,-81.0,-67.0,-53.68,-40.0,-26.68,-13.0,0.0,13.0,26.0,39.0,51.32
9350,-137.4,-123.4,-108.7,-94.7,-81.0,-67.0,-53.7,-40.0,-26.7,-13.0,0.0,13.0,26.0,39.0,51.3
9360,-137.44,-123.44,-108.72,-94.72,-81.0,-67.0,-53.72,-40.0,-26.72,-13.0,0.0,13.0,26.0,39.0,51.28
9370,-137.48,-123.48,-108.74,-94.74,-81.0,-67.0,-53.74,-40.0,-26.74,-13.0,0.0,13.0,26.0,39.0,51.26
9380,-137.52,-123.52,-108.76,-94.76,-81.0,-67.0,-53.76,-40.0,-26.76,-13.0,0.0,13.0,26.0,39.0,51.24
9390,-137.56,-123.56,-108.78,-94.78,-81.0,-67.0,-53.78,-40.0,-26.78,-13.0,0.0,13.0,26.0,39.0,51.22
9400,-137.6,-123.6,-108.8,-94.8,-81.0,-67.0,-53.8,-40.0,-26.8,-13.0,0.0,13.0,26.0,39.0,51.2
9410,-137.64,-123.64,-108.82,-94.82,-81.0,-67.0,-53.82,-40.0,-26.82,-13.0,0.0,13.0,26.0,39.0,51.18
9420,-137.68,-123.68,-108.84,-94.84,-81.0,-67.0,-53.84,-40.0,-26.84,-13.0,0.0,13.0,26.0,39.0,51.16
9430,-137.72,-123.72,-108.86,-94.86,-81.0,-67.0,-53.86,-40.0,-26.86,-13.0,0.0,13.0,26.0,39.0,51.14
9440,-137.76,-123.76,-108.88,-94.88,-81.0,-67.0,-53.88,-40.0,-26.88,-13.0,0.0,13.0,26.0,39.0,51.12
9450,-137.8,-123.8,-108.9,-94.9,-81.0,-67.0,-53.9,-40.0,-26.9,-13.0,0.0,13.0,26.0,39.0,51.1
9460,-137.84,-123.84,-108.92,-94.92,-81.0,-67.0,-53.92,-40.0,-26.92,-13.0,0.0,13.0,26.0,39.0,51.08
9470,-137.88,-123.88,-108.94,-94.94,-81.0,-67.0,-53.94,-40.0,-26.94,-13.0,0.0,13.0,26.0,39.0,51.06
9480,-137.92,-123.92,-108.96,-94.96,-81.0,-67.0,-53.96,-40.0,-26.96,-13.0,0.0,13.0,26.0,39.0,51.04
9490,-137.96,-123.96,-108.98,-94.98,-81.0,-67.0,-53.98,-40.0,-26.98,-13.0,0.0,13.0,26.0,39.0,51.02
9500,-138.0,-124.0,-109.0,-95.0,-81.0,-67.0,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,39.0,51.0
9510,-138.06,-124.06,-109.06,-95.04,-81.04,-67.02,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.98,50.98
9520,-138.12,-124.12,-109.12,-95.08,-81.08,-67.04,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.96,50.96
9530,-138.18,-124.18,-109.18,-95.12,-81.12,-67.06,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.94,50.94
9540,-138.24,-124.24,-109.24,-95.16,-81.16,-67.08,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.92,50.92
9550,-138.3,-124.3,-109.3,-95.2,-81.2,-67.1,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.9,50.9
9560,-138.36,-124.36,-109.36,-95.24,-81.24,-67.12,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.88,50.88
9570,-138.42,-124.42,-109.42,-95.28,-81.28,-67.14,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.86,50.86
9580,-138.48,-124.48,-109.48,-95.32,-81.32,-67.16,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.84,50.84
9590,-138.54,-124.54,-109.54,-95.36,-81.36,-67.18,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.82,50.82
9600,-138.6,-124.6,-109.6,-95.4,-81.4,-67.2,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.8,50.8
9610,-138.66,-124.66,-109.66,-95.44,-81.44,-67.22,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.78,50.78
9620,-138.72,-124.72,-109.72,-95.48,-81.48,-67.24,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.76,50.76
9630,-138.78,-124.78,-109.78,-95.52,-81.52,-67.26,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.74,50.74
9640,-138.84,-124.84,-109.84,-95.56,-81.56,-67.28,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.72,50.72
9650,-138.9,-124.9,-109.9,-95.6,-81.6,-67.3,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.7,50.7
9660,-138.96,-124.96,-109.96,-95.64,-81.64,-67.32,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.68,50.68
9670,-139.02,-125.02,-110.02,-95.68,-81.68,-67.34,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.66,50.66
9680,-139.08,-125.08,-110.08,-95.72,-81.72,-67.36,-54.0,-40.0,-27.0,-13.0,0.0,13.0,26.0,38.64,50.64
