level,list_-3.0,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_3.0
151,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
152,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
153,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
154,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
155,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
156,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
157,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
158,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
159,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
160,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
161,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
162,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
163,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
164,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
165,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
166,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
167,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
168,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
169,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
170,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
171,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
172,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
173,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
174,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
175,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
