level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
98,29.04,21.04,13.019999999999996,5.019999999999996,-2.0,-9.019999999999996,-15.059999999999995,-20.119999999999997,-22.240000000000002,-15.559999999999999,0.0,21.16,44.28,70.36,97.4
99,28.519999999999996,20.519999999999996,12.509999999999998,4.509999999999998,-2.5,-9.509999999999998,-15.529999999999994,-20.560000000000002,-22.619999999999997,-15.780000000000001,0.0,21.08,44.14,70.18,97.2
100,28.0,20.0,12.0,4.0,-3.0,-10.0,-16.0,-21.0,-23.0,-16.0,0.0,21.0,44.0,70.0,97.0
101,27.55,19.56,11.58,3.6,-3.37,-10.34,-16.29,-21.21,-23.09,-16.02,0.0,20.99,43.98,69.95,96.92
102,27.1,19.12,11.16,3.2,-3.74,-10.68,-16.58,-21.42,-23.18,-16.04,0.0,20.98,43.96,69.9,96.84
103,26.65,18.68,10.74,2.8,-4.109999999999999,-11.02,-16.87,-21.63,-23.27,-16.06,0.0,20.97,43.94,69.85,96.76
104,26.2,18.24,10.32,2.4,-4.48,-11.36,-17.16,-21.84,-23.36,-16.08,0.0,20.96,43.92,69.8,96.68
105,25.75,17.8,9.9,2.0,-4.85,-11.7,-17.45,-22.05,-23.45,-16.1,0.0,20.95,43.9,69.75,96.6
106,25.3,17.36,9.48,1.5999999999999996,-5.22,-12.04,-17.74,-22.26,-23.54,-16.12,0.0,20.94,43.88,69.7,96.52
107,24.85,16.92,9.06,1.1999999999999997,-5.59,-12.38,-18.03,-22.47,-23.63,-16.14,0.0,20.93,43.86,69.65,96.44
108,24.4,16.48,8.64,0.7999999999999998,-5.96,-12.72,-18.32,-22.68,-23.72,-16.16,0.0,20.92,43.84,69.6,96.36
109,23.95,16.04,8.22,0.3999999999999999,-6.33,-13.06,-18.61,-22.89,-23.81,-16.18,0.0,20.91,43.82,69.55,96.28
110,23.5,15.6,7.8,0.0,-6.7,-13.4,-18.9,-23.1,-23.9,-16.2,0.0,20.9,43.8,69.5,96.2
111,23.05,15.16,7.38,-0.40000000000000036,-7.07,-13.74,-19.19,-23.31,-23.99,-16.22,0.0,20.89,43.78,69.45,96.12
112,22.6,14.719999999999999,6.96,-0.8000000000000007,-7.4399999999999995,-14.08,-19.48,-23.52,-24.08,-16.24,0.0,20.88,43.76,69.4,96.04
113,22.15,14.280000000000001,6.54,-1.2000000000000002,-7.81,-14.42,-19.77,-23.73,-24.17,-16.26,0.0,20.87,43.74,69.35,95.96
